"RandomRuns?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"AutoInoculate?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"bcell-tnfa-apop-threshold","263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",
"second-exposure-amt","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"[reporter]","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)"
,"-0.18318290691361674","993.8522414769747","-0.1831829069136167","993.8522414769802","-0.1831829069136164","993.8522414769731","-0.1831829069136167","993.8522414769757","-0.18318290691361658","993.852241476976","-0.18318290691361655","993.8522414769755","-0.18318290691361663","993.8522414769769","-0.18318290691361633","993.8522414769806","-0.18318290691361655","993.8522414769741","-0.1831829069136164","993.8522414769733"
,"-0.19186461622225512","1002.4670173292806","-0.19186461622225506","1002.4670173292816","-0.19186461622225515","1002.46701732928","-0.1918646162222545","1002.467017329278","-0.19186461622225504","1002.4670173292791","-0.1918646162222548","1002.4670173292768","-0.1918646162222547","1002.4670173292777","-0.19186461622225495","1002.4670173292803","-0.1918646162222547","1002.467017329281","-0.1918646162222547","1002.4670173292795"
,"-0.19967815460002947","1010.2203155963513","-0.19967815460002944","1010.2203155963489","-0.19967815460002938","1010.2203155963539","-0.19967815460002952","1010.2203155963521","-0.1996781546000294","1010.22031559635","-0.1996781546000295","1010.2203155963507","-0.19967815460002963","1010.2203155963507","-0.19967815460002958","1010.2203155963513","-0.19967815460002916","1010.2203155963515","-0.19967815460002905","1010.2203155963529"
,"-0.20671033914002657","1017.198284036715","-0.20671033914002684","1017.1982840367126","-0.20671033914002657","1017.1982840367148","-0.20671033914002657","1017.1982840367142","-0.20671033914002607","1017.1982840367125","-0.2067103391400265","1017.1982840367139","-0.2067103391400264","1017.1982840367176","-0.20671033914002618","1017.1982840367165","-0.20671033914002673","1017.1982840367125","-0.20671033914002637","1017.1982840367149"
,"-0.21303930522602368","1023.478455633041","-0.213039305226024","1023.4784556330399","-0.21303930522602407","1023.478455633043","-0.21303930522602377","1023.4784556330409","-0.21303930522602385","1023.4784556330403","-0.21303930522602352","1023.4784556330421","-0.2130393052260237","1023.4784556330417","-0.21303930522602366","1023.4784556330432","-0.21303930522602377","1023.4784556330391","-0.21303930522602388","1023.4784556330429"
,"-0.21873537470342141","1029.1306100697363","-0.21873537470342105","1029.1306100697363","-0.2187353747034212","1029.1306100697368","-0.2187353747034212","1029.1306100697377","-0.2187353747034213","1029.1306100697398","-0.21873537470342191","1029.1306100697395","-0.21873537470342166","1029.13061006974","-0.21873537470342144","1029.1306100697377","-0.21873537470342128","1029.1306100697393","-0.2187353747034207","1029.1306100697384"
,"-0.22386183723307929","1034.217549062766","-0.22386183723307923","1034.217549062765","-0.22386183723307884","1034.217549062761","-0.2238618372330792","1034.2175490627633","-0.22386183723307923","1034.2175490627617","-0.2238618372330788","1034.2175490627678","-0.22386183723307884","1034.2175490627585","-0.22386183723307884","1034.2175490627617","-0.22386183723307906","1034.217549062762","-0.22386183723307887","1034.2175490627633"
,"-0.23747565350977118","1038.7957941564841","-0.23747565350977098","1038.7957941564866","-0.23747565350977104","1038.7957941564898","-0.23747565350977087","1038.795794156485","-0.2374756535097712","1038.7957941564857","-0.23747565350977115","1038.7957941564846","-0.23747565350977068","1038.7957941564869","-0.23747565350977115","1038.7957941564875","-0.23747565350977157","1038.7957941564837","-0.23747565350977137","1038.795794156488"
,"-0.24972808815879427","1042.916214740838","-0.2497280881587941","1042.9162147408365","-0.2497280881587942","1042.916214740837","-0.24972808815879405","1042.9162147408376","-0.24972808815879427","1042.9162147408342","-0.24972808815879377","1042.9162147408363","-0.24972808815879405","1042.9162147408379","-0.2497280881587939","1042.9162147408354","-0.24972808815879416","1042.9162147408376","-0.24972808815879427","1042.9162147408392"
,"-0.26075527934291465","1046.6245932667491","-0.26075527934291504","1046.624593266753","-0.2607552793429147","1046.6245932667503","-0.2607552793429143","1046.6245932667514","-0.26075527934291404","1046.6245932667523","-0.26075527934291526","1046.6245932667518","-0.2607552793429142","1046.624593266753","-0.2607552793429147","1046.6245932667491","-0.2607552793429147","1046.6245932667568","-0.2607552793429144","1046.624593266749"
